review_text,category
aplikasi enggak guna buat apa bikin aplikasi kalau tidak bisa dilakukan full diluar kantor sama saja harus ke lokasi menyita waktu kerja dsb hapus saja aplikasinya sama saja dengan punya ktp asli masih dimintai fotokopian dan masih disuruh ngisi data lagi memang indonesia suka birokrasi yang sulit,Negative
perlu ditambahkan kolom chat terhubung dengan admin dalam aplikasi jam soale bingung mau nghubungin pihak dukcapil bagaimana karena data saya tidak di update seharusnya di sediakan minimal ada fitur untuk laporkan untuk data yang tidak sesuai dll supaya paling tidak laporan warga di tindaklanjuti di waktu kerja kalo untuk melapor hal hal seperti ini harus datang ke kantor ya bagaimana ?,Negative
tolong servernya pakai yang pantas ya tolong,Neutral
membantu dari mananya ? mempersulit iya solusi untuk orang tua yang gaptek dan enggak punya hape android bagaimana ? masa iya malah disuruh pinjam ke sodaranya sedangkan pihak kelurahan bilang aplikasi enggak bisa akun dikira nextnya sodaranya itu enggak butuh aplikasi ini solusi dong solusi ! kesian warga di persulit mulu kenapa dzolim banget sih,Negative
saya bingung bagaimana cara moto copy nyh ,Negative
aplikasinya sangat kurang baik untuk jaringan lokal karena selalu trobel dan pendaftaran ikd selalu gagal mohon kepada pemerintah supaya bisa melakukan pembenahan dalam menangani kasus pada jaringannya untuk target di setiap wilayah enggak bisa terwujud karena terkendala jaringan lokal selalu maintenance terimakasih,Negative
bagus dari segi layanan keamanannya ketika mau apapun di meminta pin kalau dari segi layanan juga baik kemana mana tidak harus membawa dokumen kependudukan secara fisik namun untuk sementara akses login dan mengakses menu yang lainnya sangat lama dan ui nya tidak begitu user friendly serta membutuhkan waktu untuk memahami setiap menu dan kalau bisa offline malah lebih bagus karena kuota paket data tidak selalu punya ,Positive
aplikasinya sudah bagus dan sangat bermanfaat sudah terintegrasi dengan bpjs pajak kpu dan kemenkes terus ditingkatkan sehingga menjadi lebih baik lagi ,Positive
aplikasi teraneh yang pernah ada masuknya tidak terhubung ke akun google isi data harus scan ke petugas ini sangat aneh formulir digital tapi harus scan ke petugas berarti sama saja manual bedanya dimana ?,Negative
terjadi kesalahan koneksi,Negative
percuma buat urus dokumen lain masih meminta asli ktp fisik sekarang sulit mendapatkan ktp fisik blangko ktp selalu kosong jadi ribet,Negative
mungkin untuk para pengguna online dukcapil mohon dimengerti diciptakan aplikasi ini untuk memudahkan para pendaftar agar tidak lama menunggu pelayanan di dukcapil bukan aplikasi yang bisa daftar dimana saja tanpa harus ke dukcapil jadi para pendaftar datang ke dukcapil guna untuk memverifikasi bahwasanya benar pendaftar melakukan pendaftaran melalui aplikasi ,Neutral
pas mau pertama kali buka meminta nikemail dan no ponsel lalu verifikasi selfie lalu meminta qr code itu qr kode dapat dimana ?,Neutral
aplikasi belum maksimal harus banyak pembenahan update cek kakak saja enggak ada bisanya ktp,Negative
selalu kesalahan koneksi,Negative
tahi,Negative
good,Positive
sudah didownload tapi aplikasinya tidak bisa dibuka sudah dicoba berkalikali tetap tidak bisa dengan keterangan koneksi kurang padahal data internet saya kuat dari pihak petugas ada yang bilang jika memori hp dibawah ram memang tidak bisa berarti yang menggunakan ktp digitial hanya yang punya hp dengan memori ram keatas ya ? harus beli hp baru dulu baru bisa akses aplikasi ini ? sungguh bukan solusi tolong di perbaiki agar semua warga indonesia baik yang punya hp tidak punya bisa mengakses ktp digital thx,Negative
alhamdulillah semakin bamyak kemudahan dengan adanya identitas digital cuma harus bisa terkoneksi dengan istansi pengguna lainnya terimakasih,Positive
payah ah diwajibkan menggunakan ikd tapi saat dibutuhkan malah enggak bisa dibuka koneksi bermasalah lah giliran sudah bisa eh pas buka dokumen malah loading saja tampilan nya bukan nya mempermudah malah tambah bikin sulit,Negative
aplikasi tidak bisa dibuka kalau tidak pakai wifitidak semua orang dirumah menyediakan wifigilran datang ke pelayanan publik diarahkan ke onlinedah lah capekkalo mau bikin buat kemajuanseenggaknya nyediakan tenaga itu yang bagus,Positive
bagus karena bisa dibawa kemana saja dan lebih mudah disimpan ,Positive
kasih bintang saja nih soalnya aplikasi ini sangat lambat loading nya memakan banyak waktu dan enggak bisa daftar ke penyedia tte,Negative
awalnya bisa di buka tapi akhir akhir ini tidak bisa di buka dengan alasan email salah padahal email nik no kakak dan no telepon masih sama jadi bagaimana ini ?,Negative
permisi dukcapil kemendagri ini aplikasi sudah bagus namun perlu perhatian dan perawatan rutin dibuka sering close nutup sendiri mohon di update terimakasih,Neutral
praktis hemat efektif memudahkan pelayanan,Positive
bukannya memudahkan malah menyulitkanudh hari ku coba kesalahan koneksi muluudh pakai jaringan data sudah pakai wifi sudah uninstal istal lagi sama saja hasilnyatolonglah di perbaikijgn aneh deh kebijakannya kalo masih enggak jelas kayak ginimana harus bolak balik dukcapildi kira dekat apa ke dukcapil ? kita nih kerja jauh ijin sehari sudah di potong uang makannya ,Negative
pelayananya sangat baik dan ramah,Positive
apilaksi terlemot enggak kebuka buka memuat terus terus,Neutral
apakah harus datang ke dukcapil untuk mendaftarkan di aplikasi ?,Neutral
perbaiki bug nya,Neutral
makin enggak jelas ini aplikasi awalnya bisa di buka walaupun beberapa fitur belum bisa di akses sekarang malah aplikasinya yang enggak bisa di buka wk aplikasi dukcapil yang sejenis ini untuk di daerah juga sama susah di buka tujuanya bagus tapi realisasinya yang sulit,Negative
di era digital seperti sekarang aplikasi ini sangat diperlukan karena tidak perlu was was kalau ketinggalan identitas dirumah pokoknya keren lah semakin maju dukcapil,Positive
mantap tinggal perbaiki jaringan karena beberapa kali suka nutup sendiri,Positive
buatkan data offline karena tidak setiap saat data internet ada dan untuk di desa yang susah jaringan sangat membutuhkan data offline atau di buatkan data offline sebulan jadi setiap bulan minimal ada sekali singkron data saya pakai ini karena eblangko kosong padahal mau ubah pekerjaan dan nama yang buram ,Negative
login game giga enggak perlu lama login disini mala gagal,Negative
bagus,Positive
sangat bermanfaat dan berguna,Positive
banyak yang belum tau aplikasi ini bukan sembarangan yang bisa di install tujuan memasukan data nik dll dan hal yang terakir di bagian belakang harus scan barcode scan barcode itu tujuan nya mencocokan data di hp sama data di dukcapil kalo mau scan barcode ya harus ke kelurahan masing di kantor dukcapil sekian kalo ada yang salah mohon di benarkan terimakasih,Neutral
kenapa sekarang susah banget buka nya,Negative
aplikasi paling enggak jelas harus scan barcode lah sering terjadi kesalahan koneksi lah niat bikin aplikasi enggak sih bukannya mempermudah masyarakat malah menyulitkan masyarakat aplikasi bodoh,Negative
saya registrasi oagi tadi jam setelah daftar scan barcode di kantor setelah itu nunggu balasan emailnya perangkat ini dalam oroses sampai malam ini belum ada balasan email juga tolong diperbaiki lagi ,Neutral
alangkah baiknha harusnya bisa print sendiri ktp digitalnya kalau sudah bisa login kalau kehilangan jadi enggak ribet harus ke disdukcapil,Neutral
kalo bisa semua data keluarga seperti akte nikah akte kelahiran harus ada ,Neutral
sepertinya perlu di tambah fitur cetak dokumen karena beberapa kegiatan memerlukan fotokopi sebuah dokumen,Neutral
aplikasi yang bermanfaat bagus dan simple semua data tersimpan lengkep tinggal scan barcode terimakasi dukcapil,Positive
aplikasi yang tidak sempurna tetapi di paksakan agar kelihatan wah dan hebat tetapi nyatanya sering eror,Negative
belum bisa di pakai untuk warga hanya pegawainya saja yang bisa memakai kayaknya,Neutral
masih bingung aplikasinya sudah isi data terus meminta pindai qr masalahnya dimana qr yang mau dipindai ?,Negative
cara dapat kode qr harus pergi ke diduskapil memang aplikadi bagus,Positive
apps sering lag n fc perbaikan bug nya negara bayar mahal kalau hasil kaya begini rugi kami membayar pajak untuk gajih anda,Negative
yang memberikan rating saya heran kenapa bisa sedungu itu saya tahu sdm rendah enggak mau ribet tapi jangan tunjukan kekurangan kita semua malu punya bangsa dan negara ini jelas sekali bahwa daftat e ktp digital ini harus dibawa scan kode qr ke disdukcapil sesuai domisili masing masing begitu saja dipermasalahkan makanya sebelum kalian daftat itu cari tahu dulu bagaimana penggunaan aplikasi ini jadi sampai disini paham ya jangan diulangi lagi terimakasih ,Negative
kenapa susah masuknya ya khususnya di pengambilan fotonya sudah coba berulang kali tetap sama hasilnya enggak bisa,Negative
tolong untuk kamera nya kenapa enggak bisa ya pas sudah dftar semua pas buka camera brmalasah pnchayaan terus tolong solusi nya harus bagaimana nih skrg saya butuh ktp digital nd fisik sedangkan fisik blanco nya masih belum ada,Neutral
enggak bisa scan qr codepas sudah beres di poto tapi gabis qr codegimana sih bikinapliksi nya bikin ribet,Negative
loading mulu enggak bisa dibuka,Negative
kenapa aplikasinya susah banget di buka ,Negative
untuk ktp digital tidak sama masih foto dan tanda tangan lama dengan ktp fisik yang dipegang,Neutral
sangat buruk,Negative
saya sangan kecewa beberapa kali mencoba verifikasi wajah enggak bisa terus malah blank hitam tolong di perbaiki sistemnya,Negative
jadi ingat kata pak presiden anggaran milyar untuk rapat milyar untuk study banding juta untuk sewa ruang rapat juta untuk sewa hotel buat istirahat setelah rapat juta untuk makan siang setelah rapat juta sisanya itu yang di buat untuk aplikasi,Neutral
aplikasi ini sering sekali susah dibuka sedangkan sinyal wifi full di layar selalu muncul tulisan terjadi kesalahan coba lagi begitu terus dari awal aktifasi aplikasi ini tapi ketika aplikasi ini bisa dibuka menu dokumennya tidak bisa di akses kami mohon supaya segera dilakukan perbaikan agar aplikasi ini bisa digunakan dengan mudah dan lancar terima kasih,Positive
ui ux tampilanya kurang ok untuk fitur nya mungkin diperbarui ,Negative
aplikasi yang sangat bagus dan sangat bermanfaat tinggal di sosialisasikan ke lembaga penggunanya agar semua bisa support ktp digitalnya memang data pribadi harus lebih hati mulai dari proses pembuatan hingga penggunaannya sukses terus dukcapil keren,Positive
ini kalo sudah ngisi data disuruh scan barcode maksudnya barcode apa ya buat verifikasi datanya ? bingung tolong pencerahannya,Negative
kenapa tidak bisa di buka kesalahan koneksi terus padahal sinyal normal dan bagus,Positive
masih sering ngebug keluar sendiri,Neutral
sudah ngisi data nik email dan nomer hp tapi pas ambil foto tidak bisa menyimpan mohon solusinya ?,Neutral
kenapa tidak bisa di buka terjadi kesalahan koneksi,Neutral
kualitas foto ktp buram enggak bisa didownload soalnya kan tetap butuh ktp baik yang fotocopy maupun softfile nya untuk beberapa kepentingan aplikasi sering gagal loading tolong diperbaiki lagi ,Negative
ya masa online harus datang percuma dong,Negative
aplikasi sangan jauh dari harapan saya pikir pemerintah sudah sangat maju tentang teknologi namu tingkat kemalasan semakin menurun masyarakat disuruh mandiri dan patuh namun untuk melihat ataupun mengurus data sendiri saja harus banyak berkorban waktu dan lainya ,Negative
segi layanannya bagus dan ramah aplikasi yang memudahkan dan bermanfaat di era digital ada pin juga yang bisa diganti sukses terus,Positive
min kenapa sekarang sudah nd bisa dibuka ya tertulis koneksi terputus padahal koneksi internetnya baik saja,Negative
banyak fiturnya tapi banyak yang enggak bisa ke buka cuma loading mutar terusdigital kok kayak begini,Negative
data yang jelas jelas dilindungin negara saja bisa keretas ditambah sekarang adanya yang kaya begini ? makin lepas tangan saja sudah,Negative
tidak secanggih yang saya bayangkan ujung datang ke dukcapil buat scan qr doang seharusnya qr nya terkirim otomatis ke email yang kita daftar di awal bukan datang ke dukcapil lagi capek mengantri menghabiskan waktu doang,Negative
tolong ini diperhatikan aplikasi ini yang katanya bisa mempermudah masyarakat tapi nyatanya aplikasi ini tidak bisa dipakai terlebih ini aplikasi tidak bisa dibuka dengan menggunakan jaringan data dan banyak yang bilang perlu wifi jika mau menggunakannya kalo seperti itu ya percuma dong kami repot mendaftar ke kantor kalo ujung nya enggak bisa dipakai paling tidak tambahkan fitur offline buat yang sudah daftar dan kebutuhan mendadak jadi tinggal di scan saja tidak perlu jaringan data ,Negative
alhamdulillah aplikasinya enggak sering nge bug dan lancar mudah digunakan juga semoga data data penduduk bisa aman dan terhindar dari pembobolan agar tidak disalahgunakan ,Positive
good luck,Positive
terima kasih atas pelayanan ktp digital sangat membantu dalam proses pengurusan tidak membutuhkan waktu lama kerena semuanya menggunakan proses onlinesalam satu data ,Positive
tolong di perbaiki lagi system aplikasi nya biar enggak loading terlalu lama saat di buka aplikasinya sudah beberapa kali mencoba masuk untuk login tapi kagak bisa loading terus sampai mau meledak hp ,Negative
aplikasi pemerintah begini amat bukan nye mempermudah malah mempersulit gua kata enggak perlu pakai datang kesono sini ternyata kudu meminta barcode dari dukcapil nya juga gegayaan mao ke era digital tapi proses nye riweuh,Negative
aplikasi nya jelek enggak berguna baru juga didonlod parah pemerintah duit apbn mah gede bikin apkikasi begini malah enggak bisa ckckck,Negative
sebenarnya sudah bagus tapi juga ada sayangnya bilamana mau mengulangi foto pasti harus isi data lagi dari awal,Neutral
kami memohon kepada dispenduk se indonesia sekiranya untuk mempermudah revisi kesalahan pada akta saya umur tahun baru tahu akta ada kelebihan nama dan akhirnya ktp pun berubah otomatis saya ajukan revisi semua data pendukung mulai ektp kakak ijazah sd sampai sama buku nikah bermaterai nasegelsudah saya sodorkan sebagai persyaratan revisi namun masih di meminta untuk merubah nama bapak sedangkan bapak sudah almarhumapakah kebijakan pemerintah memang untuk mempersulit rakyatnya mohon kebijakannya ,Negative
tolong dong di perbarui lagi agar bisa cetak ulang akte kelahiran yang sudah rusak ,Neutral
jelek banget enggak bisa masuk,Negative
wow good joob lebih praktis dan tidak usah bawa bawa dompet punya ktp digital semangat dan menu nya ada foto vermuk selfi dan data lebih aman kita login selfi itu lebih bagus mempercepat kinerja di lapangan dan tidak sampai menit jadi ktp digital good kalau bisa sih otomatis di perbarui data penduduk ada menu edit tempat kerja dan semangat tehnologi digital modern ramah dan soo good good saya rasa ini wow cool buat kalian silahkan daftar mudah dan cepat tidak antri,Positive
enggak bisa ambil foto nih di saya bagaimana ya ?,Negative
masih lambat untuk dibuka padahal jaringan lancar lancar saja,Positive
mantap,Positive
keren sih ya sudah enggak perlu ktp di bawa bawa cu cukup buka aplikasi dan tunjukkan sudah,Positive
 setiap menggunakan fitur menu harus login chapta dan sering gagal setiap anggota keluarga yang masih diwajibkan reaktivasi aplikasi jika bisa cukup aktivasi dari kepala keluarga namun bisa di gunakan setuap anggota keluarga,Neutral
semoga aplikasinya lancar dan lebih ditingkatkan keamanan dan kemudahannya,Positive
kenapa ketika mengambil poti selalu gagal ,Negative
sejauh ini sangat memudahkan kita yang biasanya lupa bawa ktp atau apapun namun masih agak eror padahal jaringan bagus,Positive
sangat membantu saat pulang kamapung mau berobat enggak bawa kakak bisa lihat dari sini kalau yang belum bisa pakai ini harus di rekam di petugas baru bisa di gunakan semoga bermanfaat,Positive
masih belum optimal lama loadingnya,Negative
agar mempermudah supaya scan bar code tidak perlu ke kantor dukcapil cukup kirim melalui wa karena jelas tidak mungkin dia memalsukan nik kalo dia mendaftar menggunakan nik tersebut sudah jelas itu punya dia bukan punya orang lain terima kasih,Neutral
dengan ada nya identitas kependudukan digital id ini sangat bagus lebih simpel dan lebih modern semoga kedepan nya lebih bagus lagi dalam berinovasi dan semoga dukcapil kemendagri semakin maju,Positive
sangat membantu pelayanan kependudukan jadi lebih mudah praktis dan simple terimakasih dukcapil,Positive
aplikasinya error terus sudah berhari tidak bisa dibuka ,Negative
hadeh gua kira setelah adanya aplikasi ini bisa mempermudah eh enggak tau nya untuk keperluan tertentu misal bayar pajak mtor harus di meminta ktp asli fisik terus gunanya aplikasi digital buat apa coba itu baru contoh kecil nya saja saran gua sih pemerintah harus men sinkronisasi kan kegunaan yang sebenarnya ,Negative
terkendala masalah jaringan server lemah,Negative
aplikasi tidak bisa di buka coba terus enggak bisa juga ,Negative
aplikasinya sangat berguna untuk data kependudukan terdapat beberapa opsi dokumen yang sudah terdaftar keren,Positive
sama juga harus kedukcapil juga menuhi kantor karena aplikasi mandiri kan data ada sudah disana birokrasi,Negative
kenapa harus menggunakan no hp satu satu ktp dan ram hp harus diatas,Neutral
halo sebenarnya sangat bagus fiturnya hanya sekedar saran saja tolong ditambahkan opsi pengunduhan file baik dalam jpg maupun pdf untuk ktp dan kakak yang dibarengi dengan keamanan etat untuk pengunduhan ktp dan kakak karena memang jika dibutuhkan ini sangat penting,Positive
baru selesai aktivasi ke dukcapil buat login saja sudah enggak bisa semoga bisa diperbaiki aplikasinya untuk kemudahan masyarakat mengurus data secara online terimakasih,Neutral
aplikasi ini sangat membantu sekali mungkin hanya perlu perbaikan sedikit ,Positive
masih banyak kekurangan terutama pada hp saya yang iphone pro max yang kemarin baru saya beli dengan harga jtan di toko oren sekarang saya juga senang banget foto di depan cermin enggak tau kenapa,Positive
kenapa setiap buka terjadi kesalahan terus,Negative
mudah dan gampang,Positive
konsep aplikasi ini sudah bagus masih ada banyak hal yang perlu ditingkatkan mulai dari kemudahan akses konektivitas terhubung ke server dan juga kemampuan untuk menyimpan data agar bisa diakses secara offline karena saya melihat banyak sekali keluhan tentang masalah jaringan dan kendala mengakses aplikasi disaat sedang tidak ada kuota internet setelah itu baru ditingkatkan lagi ul nya,Negative
saya pikir ini pengganti fisik ktp tapi untuk menunjukkan ktp kepada pihak lain secara online misal buat rek bank online tidak bisa tidak bisa di screenshoot kode qr juga enggak bisa dibagikan ,Neutral
moga kedepannya bisa lebih smooth lagi aplikasi nya dan ditambahkan fitur update data keluarga contoh sinkronisasi data keluarga anak pertama saya kok enggak terdata di biodata padahal di lihat dari kartu keluarga sudah ada tapi dilihat di biodata enggak ada,Neutral
enggak mau ke install berkali kali coba bagaimana ada solusinya enggak ? hp gue enggak jelek amat dan android enggak jadul amat ,Negative
kenapa aplikasinya beberapa hari ini susah sekali dibuka padahal koneksi internet bagus mau buka dokumen hanya loading terus mohon dieprbaiki ,Negative
niatnya sudah bagus digital untuk mempermudah jadi enggak perlu bawa ktp fisik ya tapi kok aplikasinya muter terus lambat banget mau buka ktp nya susah lama banget muter saja tolong server di perbanyak ata di benerin lah biar gampang ini mau buka ktp tolong ini mah pemerintah,Negative
